,project,library,framework,dbs,file
26,analysis of gene regulation using deep learning to the in the of the for the award of the of of,panda scipy numpy kera,,,./reports_doc/A NALYSIS OF G ENE R EGULATION USING_D EEP L EARNING.pdf
27,system for language translation to the in the of the for the award of the of of,tensorflow kera,flask,,./reports_doc/A SYSTEM FOR LANGUAGE TRANSLATION.pdf
28,accelerating foreign language learning of the of,beautifulsoup4,django,sqlite,./reports_doc/Accelerating Foreign Language Learning_62.pdf
29,adaptive traﬃc congestion control,,,mysql,./reports_doc/Adaptive Traffic Congestion Control.pdf
30,advance database security using secured layer,,,mysql,./reports_doc/Advance_Database_Security_Using_Secure_Layer.pdf
31,ai buddy to the in the of the for the award of the of of,panda scipy tensorflow,,,./reports_doc/AI BUDDY.pdf
32,ai- assisted potential health risk predictor to the in the of the for the award of the of of,,,mysql,./reports_doc/AI- ASSISTED POTENTIAL HEALTH RISK_PREDICTOR.pdf
33,air pollution detection with navigation system to the in the of the for the award of the of of,,angular,mysql mariadb,./reports_doc/AIR POLLUTION DETECTION WITH_NAVIGATION SYSTEM.pdf
34,an iot gateway for interfacing ble peripherals to cloud of the of,,,,./reports_doc/An IoT GATEWAY FOR INTERFACING BLE PERIPHERALS TO CLOUD.pdf
35,analysis of indian stock market analysts,panda spacy beautifulsoup4,django,sqlite mysql,./reports_doc/Analysis of Indian Stock Market Analysts.pdf
36,analysis of privacy policies via machine learning to the in the of the for the award of the of of,nltk panda scikit-learn,django,mongodb,./reports_doc/ANALYSIS OF PRIVACY POLICIES VIA_MACHINE LEARNING.pdf
37,analysis of videos using deep learning and high performance computing,numpy scipy scikit-learn opencv tensorflow,flask,,./reports_doc/Analysis of Videos using Deep Learning and High Performance_Computing.pdf
38,charachterisitics provided by the analysis of workload and its hypervisor and recommend optimal fit in cloud to the in the of the for the award of the of of,,flask,mysql,./reports_doc/ANALYSIS OF WORKLOAD AND ITS_CHARACHTERISITICS PROVIDED BY THE_HYPERVISOR AND RECOMMEND_OPTIMAL FIT IN CLOUD.pdf
39,analytics dashboard of e-commerce backend,,,mysql,./reports_doc/Analytics Dashboards of E-commerce Backend_12.pdf
40,analyze clickstream data and understand user intent to personalize advertisements of the of,pyspark,react,hbase cassandra,./reports_doc/analyze online clickstream data to understand user intent and personalized ads_25.pdf
41,analyzing product image/metadata based on click through rates for advertisement logistics,panda tensorflow numpy kera,angular,,./reports_doc/Analyzing Product Image-Metadata Based On Click Through Rate For Advertisement Logistics_61.pdf
42,title of the of,scipy numpy scikit-learn,flask,mongodb,./reports_doc/ANDROID BASED SOLUTION FOR ANALYSIS OF_POST-HARVEST LOSSES AND PREVENTIVE_MEASURES USING MACHINE LEARNING_15.pdf
43,android malware detection using machine learning,,,,./reports_doc/Android Malware Detection Using Machine Learning_67.pdf
44,answering open ended questions based on images using deep learning approach to the in the of the for the award of the of of,spacy numpy kera scipy opencv,,,./reports_doc/ANSWERING OPEN ENDED QUESTIONS_BASED ON IMAGES USING DEEP_LEARNING APPROACH.pdf
45,application to determine the safest route using crime analysis via decision tree algorithm of the of,,flask,sqlite mysql,./reports_doc/APPLICATION TO DETERMINE THE SAFEST ROUTE USING CRIME JANALYSIS VIA DECISION TREE JALGORITHM_78.pdf
46,applications of deep neural networks in domain agnostic recommendation engine of the of,panda scikit-learn scipy numpy,flask,redis,./reports_doc/Applications of Deep Neural Networks in Domain Agnostic Recommendation Engine_57.pdf
47,article classification and recommendation system of the of,anaconda fasttext spyder spacy,,mongodb,./reports_doc/Article Classification and Recommendation system.pdf
48,audit and compliance in service management using blockchain to the in the of the for the award of the of of,,,,./reports_doc/AUDIT AND COMPLIANCE IN SERVICE_MANAGEMENT USING BLOCKCHAIN.pdf
49,auto painter text to image synthesis to the in the of the for the award of the of of,numpy panda pytorch anaconda opencv,flask,,./reports_doc/AUTO PAINTER_ TEXT TO IMAGE_SYNTHESIS.pdf
50,auto-classiﬁcation of tickets in it service management,,,,./reports_doc/Auto-Classification of Tickets in IT Service Management_19.pdf
51,automated braking test for vehicle licenses to the in the of the for the award of the of of,,flask,,./reports_doc/AUTOMATED BRAKING TEST FOR_VEHICLE LICENSES.pdf
52,automated financial portfolio building towards the of the of of,,,mysql,./reports_doc/AUTOMATED FINANCIAL PORTFOLIO BUILDING_57.pdf
53,automated glaucoma detection to the in the of the for the award of the of of,opencv kera,reactjs,,./reports_doc/AUTOMATED GLAUCOMA DETECTION.pdf
54,automated log analysis and filtering,,,postgresql mysql,./reports_doc/AUTOMATED LOG ANALYSIS AND FILTERING_73.pdf
55,automated power measurement system of the of,,,mysql,./reports_doc/Automated Power Measurement System_79.pdf
56,automated sound quality enhancer assistant to the in the of the for the award of the of of,panda tensorflow numpy,,,./reports_doc/Automated Sound Quality Enhancer Assistant.pdf
57,automatic information extraction from text documents to the in the of the for the award of the of of,nltk panda spacy fasttext,,neo4j,./reports_doc/AUTOMATIC INFORMATION EXTRACTION_FROM TEXT DOCUMENTS.pdf
58,automatic notiﬁcation bot using web mining for event analysis,,flask,mongodb,./reports_doc/Automatic Notification Bot Using Web JMining for Event Analysis_72.pdf
59,automatic sql query formation using nlp of the of,nltk panda numpy,flask react,mysql,./reports_doc/Automatic SQL Query Formation using NLP.pdf
60,recommendation system for bank customers using statistical learning of the of,anaconda spyder,django,,./reports_doc/Banking_Recommendation_system.pdf
61,iot based parameter monitoring system for agriculture,,,,./reports_doc/BE49.pdf
62,beam digitizing content in advertising,,flask,mysql,./reports_doc/BEAM-DIGITIZING_CONTENT_IN_ADVERTISING.pdf
63,smart railway reservation and ticketing system,,,sqlite mysql,./reports_doc/BEREPORT.pdf
64,sentiment analysis of customer feedback on web,,angular,mongodb,./reports_doc/BE_PROJECT_REPORT_FORMAT_TERM_II_LATEX_FILE_68.pdf
65,bitcoin price prediction using machine certificate learning to this is to certify that the report entitled bitcoin price prediction using machine learning of the for for the award of the of has been successfully completed by of sakshi valecha b120053273 siddhi velankar b120053278 shreya maji electronics and telecommunication in b120053 by is bona fide work carried out by them under the guidance of assistant prof. k. v. shreya maji b120053134 sakshi valecha b120053273 siddhi velankar b120053278 sakhare and it is approved for the of the requirement of the for the award of the of the of electronics and telecommunication this work has not been guide earlier,tensorflow kera,,,./reports_doc/BE_report_final.pdf
66,bitcoin price prediction using machine certificate learning to this is to certify that the report entitled bitcoin price prediction using machine learning of the for for the award of the of has been successfully completed by of sakshi valecha b120053273 siddhi velankar b120053278 shreya maji electronics and telecommunication in b120053 by is bona fide work carried out by them under the guidance of assistant prof. k. v. shreya maji b120053134 sakshi valecha b120053273 siddhi velankar b120053278 sakhare and it is approved for the of the requirement of the for the award of the of the of electronics and telecommunication this work has not been guide earlier,tensorflow kera,,,./reports_doc/BE_report_final3.pdf
67,biomedical tumor segmentation,numpy kera anaconda opencv tensorflow,django,,./reports_doc/Biomedical Tumor Segmentation.pdf
68,biometric based rto license checking and fine system of the of,,,mysql,./reports_doc/Biometric Based RTO License Checking_And Fine system.pdf
69,business analytics dashboard,nltk panda numpy scikit-learn,,mongodb,./reports_doc/BUSINESS ANALYTICS DASHBOARD_9.pdf
70,canvazify collaboration saas platform on mobile devices of the for the award of,,,mysql,./reports_doc/Canvazify _ Collaboration SAAS platform on mobile_devices_72.pdf
71,chatbot for automated customer support,nltk panda beautifulsoup4,flask,,./reports_doc/Chatbot for automated customer support.pdf
72,classification of abstract images using machine learning,scipy tensorflow numpy kera,,,./reports_doc/Classification of abstract images using machine learning_66.pdf
73,classifying users and identifying user interests based on semantic and contextual analysis to the in the of the for the award of the of of,nltk panda anaconda kera,flask,,./reports_doc/CLASSIFYING USERS AND IDENTIFYING_USER INTERESTS BASED ON SEMANTIC AND_CONTEXTUAL ANALYSIS.pdf
74,cloud based magixphone and web gaming platform of the of,,angular angularjs express.js,mongodb,./reports_doc/Cloud based Magixphone and web gaming platform_38.pdf
75,code impact analyzer to the in the of the for the award of the of of,,flask,,./reports_doc/CODE IMPACT ANALYZER.pdf
76,cognitive intelligence and knowledge based classification and reasoning to the in the of the for the award of the of of,,,mysql,./reports_doc/COGNITIVE INTELLIGENCE AND_KNOWLEDGE BASED CLASSIFICATION_AND REASONING.pdf
77,compliance engine for databases to the in the of the for the award of the of of,,react,,./reports_doc/COMPLIANCE ENGINE FOR DATABASES.pdf
78,comprehensive developer assistant coda to the in the of the for the award of the of of,pytorch kera,flask,,./reports_doc/COMPREHENSIVE DEVELOPER ASSISTANT_(CODA).pdf
79,conditional gif generation using gans of the of,numpy kera pytorch anaconda opencv,,,./reports_doc/Conditional GIF Generation Using GANS.pdf
80,connected component labelling of the of,opencv,,,./reports_doc/Connected_Component_Labelling_45.pdf
81,construct 3d objects from multiple views to the in the of the for the award of the of of engineeringv,panda opencv numpy,,,./reports_doc/CONSTRUCT 3D COMPUTER OBJECTS_FROM MULTIPLE VIEWS.pdf
82,content based image retrieval of t-shirts,opencv,,mysql mongodb,./reports_doc/Content Based Image Retrieval of T-Shirts_55.pdf
83,context aware book recommendation system of the of,nltk numpy,,mongodb,./reports_doc/Context aware book recommendation system_27.pdf
84,contextual analysis based on summarized text of conversation to the in the of the for the award of the of of,panda scipy kera,flask,,./reports_doc/CONTEXTUAL ANALYSIS BASED ON_SUMMARIZED TEXT OF CONVERSATION.pdf
85,contextual recommendation and summarization of enterprise communication to the in the of the for the award of the of of,panda pytorch spacy kera,flask,mysql,./reports_doc/CONTEXTUAL RECOMMENDATION AND_SUMMARIZATION OF ENTERPRISE_COMMUNICATION.pdf
86,conversion of marathi text to braille using optical character recognition to the in the of the for the award of the of of,opencv numpy kera,flask,,./reports_doc/CONVERSION OF MARATHI TEXT TO_BRAILLE USING OPTICAL CHARACTER_RECOGNITION.pdf
87,conversion of video containing sign language to textual format to the in the of the for the award of the of of,numpy kera panda scipy opencv tensorflow,,mysql,./reports_doc/CONVERSION OF VIDEO CONTAINING SIGN_LANGUAGE TO TEXTUAL FORMAT.pdf
88,hosting server on android phones using nano-httpd and mqtt protocol,panda,,,./reports_doc/Creating server on android phone using NanoHTTPD.pdf
89,credit card fraud detection system to the in the of the for the award of the of of,,,,./reports_doc/CREDIT CARD FRAUD DETECTION_SYSTEM.pdf
90,crop production estimation of the of,scikit-learn panda spyder numpy,,mysql,./reports_doc/Crop Production Estimation.pdf
91,crop yield prediction using data mining techniques of the of,,,mysql,./reports_doc/Crop yield estimation using Data mining techniques..pdf
92,crop disease detection,numpy kera spyder scipy anaconda tensorflow,flask,,./reports_doc/Crop_disease_detection.pdf
93,customer decision support system of the of,,,mongodb,./reports_doc/CustomerDecisionSupportSystem_39.pdf
94,deep learning in medical image analysis to the in the of the for the award of the of of,panda opencv numpy kera,flask,,./reports_doc/DEEP LEARNING IN MEDICAL IMAGE_ANALYSIS.pdf
95,demand forecasting for inventory optimization to the in the of the for the award of the of of,panda numpy,flask,sqlite,./reports_doc/DEMAND FORECASTING FOR INVENTORY_OPTIMIZATION.pdf
96,design framework for e-commerce application of the of,,,mysql,./reports_doc/DESIGN FRAMEWORK FOR_E-COMMERCE APPLICATION_37.pdf
97,detecting cervical abnormalities using machine learning to the in the of the for the award of the of of,numpy kera panda anaconda opencv,,mysql,./reports_doc/DETECTING CERVICAL ABNORMALITIES_USING MACHINE LEARNING.pdf
98,detecting student engagement in lecture using deep learning to the in the of the for the award of the of of,panda opencv numpy kera,flask,mysql,./reports_doc/DETECTING STUDENT___S ENGAGEMENT IN_LECTURE USING DEEP LEARNING.pdf
99,detection of diabetic retinopathy using vision of the of,numpy kera tensorflow-gpu anaconda tensorflow,flask,,./reports_doc/Detection Of Diabetic Retinopathy Detection Using Computer Vision.pdf
100,developing cross platform app for farmers for suggesting agricultural products of the of,,,,./reports_doc/Developing Cross Platform App For Farmers For Suggesting Agricultural Products.pdf
101,development of intelligent automated indoor navigator and assistance system,,,,./reports_doc/Development of Intelligent automated indoor_navigator and assistance system.pdf
102,development of location and navigation services in complex indoor scenes based on the android mobile computing platform,,react,mysql,./reports_doc/DEVELO~1.PDF
103,differentiating between legitimate and attacker vm,,,,./reports_doc/Differentiating Between Attacker And Legitimate VM.pdf
104,digital college of the of,,,mysql,./reports_doc/Digital_College.pdf
105,dimension extraction of an object using machine vision to the in the of the for the award of the of of,opencv,,,./reports_doc/DIMENSION EXTRACTION OF AN OBJECT_USING MACHINE VISION.pdf
106,direct transfer from data devices,,,,./reports_doc/DIRECT TRANSFER FROM DATA DEVICES_56.pdf
107,disease detection using ayurvedic pulse diagnosis,scikit-learn panda numpy,react,mysql,./reports_doc/Disease Detection using ayurvedic pulse diagnosis.pdf
108,disease diagnosis using nadi parikshan,,react,mysql,./reports_doc/Disease Diagnosis Using Nadi Parikshan_44.pdf
109,disease prediction using machine learning,panda anaconda numpy,,,./reports_doc/Disease prediction using machine learning_55.pdf
110,detection of distracted driver using deep learning of the of,numpy kera panda anaconda opencv,,,./reports_doc/Distracted_Driver_Detection_ Using_Deep_Learning.pdf
111,automated attendance system using face recognition,opencv tensorflow,,,./reports_doc/Download File.pdf
112,drone droid of the of,,react,,./reports_doc/DRONE DROID_58.pdf
113,dynamic forms ui/ux,,angular,mongodb,./reports_doc/Dynamic Forms - UI UX.pdf
114,dynamic load balancing of web servers,,,,./reports_doc/Dynamic load balancing of web servers.pdf
115,dynamic pricing in the food industry of the of,,angularjs express.js,mongodb,./reports_doc/DynamicFoodPricing.pdf
116,e-care android application for health monitoring and human physical activity classiﬁcation,,,,./reports_doc/E-Care-Android Application For Health Monitoring_73.pdf
117,e-glove health monitoring system using wearable computing iot and data mining to the in the of the for the award of the of of,,,,"./reports_doc/E-GLOVE_ A HEALTH MONITORING_SYSTEM USING WEARABLE COMPUTING,_IoT AND DATA MINING.pdf"
118,to determine state of driver to make driving safer ecg monitoring,,,redis mongodb,./reports_doc/ECG MONITORING FOR DRIVER ANALYSIS_17.pdf
119,efficient diabetes risk assessment in patients using machine learning algorithms to the in the of the for the award of the of of,scipy numpy scikit-learn,,,./reports_doc/EFFICIENT DIABETES RISK ASSESSMENT IN_PATIENTS USING MACHINE LEARNING_ALGORITHMS.pdf
120,election result prediction using sentimental analysis on twitter data to the in the of the for the award of the of of,nltk numpy panda scipy opencv,flask,,./reports_doc/ELECTION RESULT PREDICTION USING_SENTIMENTAL ANALYSIS ON TWITTER DATA.pdf
121,emergency blood requirement system,,react,,./reports_doc/Emergency Blood Requirement system_48.pdf
122,emotion based music player to the in the of the for the award of the of of,,,mysql,./reports_doc/EMOTION BASED MUSIC PLAYER.pdf
123,enhanced framework for true sight network automation to the in the of the for the award of the of of,,angular angularjs,postgresql,./reports_doc/ENHANCED FRAMEWORK FOR TRUE_SIGHT NETWORK AUTOMATION.pdf
124,erp system for flexible transportation service,,,mongodb,./reports_doc/ERP SYSTEM FOR A FLEXIBLE TRANSPORTATION_SERVICE_30.pdf
125,ethereum based blockchain implementation of peer review system to the in the of the for the award of the of of,,,mongodb,./reports_doc/ETHEREUM BASED BLOCKCHAIN_IMPLEMENTATION OF PEER REVIEW_SYSTEM.pdf
126,event driven process orchestration of the of,,,,./reports_doc/Event_Driven_Process_Orchestration_59.pdf
127,exploring alternative approaches to control forwarding path of packets in virtual networks of the of,,,,./reports_doc/Exploring alternative approaches to control forwarding path of packets in virtual networks_4.pdf
128,expressive english text-to-speech synthesis system of the of,nltk scipy scikit-learn kera,react,,./reports_doc/Expressive English Text-to-Speech Synthesis System_7.pdf
129,face recognition in videos of the of,opencv tensorflow numpy kera,,,./reports_doc/Face Recognition in Videos.pdf
130,fashion recommendation and design using machine learning to the in the of the for the award of the of of,scipy opencv kera,,,./reports_doc/FASHION RECOMMENDATION AND_DESIGN USING MACHINE LEARNING.pdf
131,fast and efﬁcient compression method for real time systems,opencv,,,./reports_doc/Fast and efficient compression method for real time systems_41.pdf
132,high power amplifier system,,,,./reports_doc/final BE report.pdf
133,high power amplifier system,,,,./reports_doc/final BE report1.pdf
134,fingerprint based attendance system,,,mysql,./reports_doc/final Be Report2.pdf
135,donorx networking for organ and blood donors and recipients,,,mysql,./reports_doc/Final full report.pdf
136,fingerprint based portable attendance system,,,,./reports_doc/Final gts.pdf
137,voip using wlan,,,,./reports_doc/Final Report(Group No 95).pdf
138,food quality inspection using vision to the in the of the for the award of the of of,numpy kera panda anaconda opencv,,,./reports_doc/FOOD QUALITY INSPECTION USING_COMPUTER VISION.pdf
139,galaxy morphology prediction using convolutional neural networks,numpy kera panda scipy scikit-learn tensorflow,react,,./reports_doc/Galaxy Morphology Prediction using Convolutional_Neural Networks_64.pdf
140,generic replicator framework of the of,,,,./reports_doc/Generic Replicator Framework.pdf
141,generic sdk for zephyr os to connect aws iot cloud of the of,,,,./reports_doc/Generic SDK for zephyr OS to connect AWS IoT cloud.pdf
142,generic user activity analysis and prediction,,,hbase mongodb,./reports_doc/Generic User Activity Analysis And Prediction_34.pdf
143,generic trafﬁc shaper,,django react,mysql,./reports_doc/Generic_Traffic_Shaper_19.pdf
144,geo-enabled property tax mapping of the of,,angular angularjs express.js ionic,mongodb,./reports_doc/GEO-ENABLED PROPERTY TAX.pdf
145,gesture aware interactive presentation system to the in the of the for the award of the of of,opencv numpy,,,./reports_doc/GESTURE AWARE INTERACTIVE_PRESENTATION SYSTEM.pdf
146,gps supported city bus tracking and trip planner,,,,./reports_doc/GPS SUPPORTED CITY BUS TRACKING AND TRIP PLANNER_53.pdf
147,gpu framework utilities,,,,./reports_doc/GPU Framework Utilities Group_id_80.pdf
148,image text to speech conversion,,,,./reports_doc/Group 12 Final Report.pdf
149,video game programming,,,,./reports_doc/Group 40 PICT BE E&TC - Video Game Programming (1).pdf
150,arista location based wearable child safety gadget,,,,./reports_doc/Group 42.pdf
151,greenhouse monitoring and automation,,flask,mongodb,./reports_doc/Group 81.pdf
152,electronic queue application for appointment scheduling and token generation,,,sqlite mysql,./reports_doc/Group 88.pdf
153,fpga implementation of object counting using colour recognition technique,opencv,,,./reports_doc/GROUP NO 83 (1).pdf
154,efficient remote voting system,,,mysql,./reports_doc/Group no 87.pdf
155,study kit for can system,,angular,,./reports_doc/GROUP no 94 _ CAN PROTOCOL_.pdf
156,sign language assessment tool,opencv tensorflow numpy kera,,,./reports_doc/group no. 84.pdf
157,iot infrastructure for bluetooth low energy to wi-fi gateway,,,,./reports_doc/group no.55.pdf
158,sign language conversion to solve mathematical problems,opencv,angular,,./reports_doc/GROUP NO.69_SIGN_LANGUAGE_REPORT.pdf
159,face recognition by guide in,opencv,,,./reports_doc/Group no.82.pdf
160,to beginner guide to embedded of requirement for the of for programming,,react,,./reports_doc/Group no_36_BE Final report.pdf
161,internet tv gadget,,,sqlite postgresql mysql,./reports_doc/Group.No.7_InternetTvGadget_report.pdf
162,oceanographic object recognition,opencv scipy numpy,,,./reports_doc/Group.No_01.pdf
163,automatic attendance monitoring sysytem,opencv,,,./reports_doc/Group.No_02.pdf
164,autonomous 2d slam robot,,angular,,./reports_doc/Group.No_03.pdf
165,video based indian sign language recognition system,,,,./reports_doc/Group.No_05.pdf
166,automated detection of autism,,,,./reports_doc/Group.No_06.pdf
167,human drowsiness yawn detection based on image processing,panda opencv scipy numpy,,,./reports_doc/Group.No_09.pdf
168,real time operated smart robot,,,,./reports_doc/Group.No_10.pdf
169,hardware implementation steganography,,,,./reports_doc/Group.No_100.pdf
170,dual axis solar tracking system,,angular,,./reports_doc/Group.No_101.pdf
171,self balancing robot,,angular,,./reports_doc/Group.No_103.pdf
172,fer system,opencv,,,./reports_doc/Group.No_104.pdf
173,color sorting using pick and place arm,,,,./reports_doc/Group.No_105.pdf
174,power windows using can communication,,angular,,./reports_doc/Group.No_106.pdf
175,quantitative tool for neurotherapy,,flask react,,./reports_doc/Group.No_107.pdf
176,pattern generation for tactile sensing using paraffin wax actuators,,,,./reports_doc/Group.No_11.pdf
177,follow me smart luggage,opencv,,,./reports_doc/Group.No_110.pdf
178,exo-skeleton arm,,,,./reports_doc/Group.No_14.pdf
179,spectrum sensing using machine learning in cognitive radio,,,,./reports_doc/Group.No_15.pdf
180,segmentation of brain tumor images,,angular,,./reports_doc/Group.No_16.pdf
181,motion activated security system,,,,./reports_doc/Group.No_17.pdf
182,bandwidth enhancement of patch antenna for ultra wideband applications,,angular,,./reports_doc/Group.No_18.pdf
183,supply chain management using blockchain,,angular,,./reports_doc/Group.No_19.pdf
184,intelligent traffic control system,opencv,,,./reports_doc/Group.No_20.pdf
185,lora based energy meter,,,,./reports_doc/Group.No_21.pdf
186,lora based flow meter,,,,./reports_doc/Group.No_22.pdf
187,stock price prediction using machine learning,,,,./reports_doc/Group.No_23.pdf
188,smart e-rationing system,,,,./reports_doc/Group.No_24.pdf
189,use of gabor filter for classification of facial expressions,,,,./reports_doc/Group.No_25.pdf
190,audio steganography using block mapping technique,,,,./reports_doc/Group.No_26.pdf
191,automotive operating system,,,,./reports_doc/Group.No_27.pdf
192,multimodal emotion recognition system,,,,./reports_doc/Group.No_28.pdf
193,content based image retrieval,,,,./reports_doc/Group.No_29.pdf
194,predicting the outcome of cricket match,panda scipy numpy scikit-learn,,,./reports_doc/Group.No_30.pdf
195,doorlock,opencv,angular,,./reports_doc/Group.No_32.pdf
196,performance evaluation of feature extraction technique for facial analysis,numpy panda scipy scikit-learn opencv,,,./reports_doc/Group.No_33.pdf
197,sign language conversion for tiny-tots,,,,./reports_doc/Group.No_34.pdf
198,image encryption using elliptic curve cryptography,opencv numpy,,,./reports_doc/Group.No_35.pdf
199,digital assistant for driver,nltk,,,./reports_doc/Group.No_36.pdf
200,emotion detection using speech recognition,,,,./reports_doc/Group.No_37.pdf
201,tonic identification in indian music,,,,./reports_doc/Group.No_38.pdf
202,women safety device,,,sqlite,./reports_doc/Group.No_39.pdf
203,fall detection device for senior citizens,,angular,,./reports_doc/Group.No_40.pdf
204,content based image retrival,opencv numpy,,,./reports_doc/Group.No_42.pdf
205,video steganography using python,opencv tensorflow,django,,./reports_doc/Group.No_43.pdf
206,virtual library system,,flask django,mysql,./reports_doc/Group.No_44.pdf
207,sitwell-the posture correcting device-2,,,mysql,./reports_doc/Group.No_45.pdf
208,sitwell-the posture correcting device-1,,,,./reports_doc/Group.No_46.pdf
209,animatronics hand,,,,./reports_doc/Group.No_47.pdf
210,3-d object scanning and printing,,,,./reports_doc/Group.No_49.pdf
211,cyber security authentication using audio water marking system,,,,./reports_doc/Group.No_50.pdf
212,stage based on color,,,,./reports_doc/Group.No_51.pdf
213,implementation of aes algorithm on fpga,,,,./reports_doc/Group.No_53.pdf
214,gesture to text conversion,,,,./reports_doc/Group.No_56.pdf
215,vehicle fuel monitoring system,,,,./reports_doc/Group.No_57.pdf
216,pharmacy software,,,,./reports_doc/Group.No_58.pdf
217,stage stock market prediction using machine learning,tensorflow kera,,,./reports_doc/Group.No_59.PDF
218,ear biometrics,,,,./reports_doc/Group.No_60.pdf
219,aerial image analysis using novel feature descriptors,tensorflow,angular,,./reports_doc/Group.No_61.pdf
220,remote switching using raspberry pi,,,mysql,./reports_doc/Group.No_62.pdf
221,handwritten text recognition,,,,./reports_doc/Group.No_63.pdf
222,analysis of transformer oil using image processing,,ionic,,./reports_doc/Group.No_64.pdf
223,generic vehicle classification using machine learning,numpy kera scipy pytorch opencv tensorflow,,,./reports_doc/Group.No_65.pdf
224,end to end sentence level lip-reading,scipy tensorflow numpy kera,,,./reports_doc/Group.No_66.pdf
225,pcb fault detection using image processing,,,,./reports_doc/Group.No_67.pdf
226,garbage atm and segregator,,,,./reports_doc/Group.No_68.pdf
227,distributed electromagnetic spectrum database based on blockchain,,flask,,./reports_doc/Group.No_69.pdf
228,quantitative tool for neurotherapy,,flask,,./reports_doc/Group.No_70.pdf
229,arduino and bluetooth controlled programmable robotic arm,,angular,,./reports_doc/Group.No_71.pdf
230,virtual trial room,opencv,react,,./reports_doc/Group.No_72.pdf
231,brail to speech,,,,./reports_doc/Group.No_73.pdf
232,plant recognition,panda numpy,,mariadb,./reports_doc/Group.No_74.pdf
233,integrated smart stick for blind mobility,,,,./reports_doc/Group.No_75.pdf
234,digital electronic meter monitoring and data logging sysytem,,,mysql,./reports_doc/Group.No_76.pdf
235,feeding solar power to grid,,,,./reports_doc/Group.No_77.pdf
236,currency note to coin dispenser with fake note detection,,,,./reports_doc/Group.No_81.pdf
237,seed sowing using automization,,angular,,./reports_doc/Group.No_83.pdf
238,automatic image colorization based on convolutional neural network,numpy kera scipy anaconda tensorflow,,,./reports_doc/Group.No_85.pdf
239,blood group recognition using image processing,,react,,./reports_doc/Group.No_86.pdf
240,pest identification,,,,./reports_doc/Group.No_89.pdf
241,solar ups system,,,,./reports_doc/Group.No_90.pdf
242,human detection and tracking with drone,,,,./reports_doc/Group.No_91.pdf
243,coconut tree climbing robot part,,,,./reports_doc/Group.No_93.pdf
244,coconut tree climbing robot part,,,,./reports_doc/Group.No_94.pdf
245,design of uwb microstrip antenna with frequency notch characteristics,,angular,,./reports_doc/Group.No_95.pdf
246,secured wireless communication between remote army stations,,,,./reports_doc/Group.No_98.pdf
247,dynamic grid distrubition management network,,,,./reports_doc/Group.No_99.pdf
248,optical character recognition,scikit-learn opencv scipy numpy,,,./reports_doc/group32.pdf
249,hand gesture recognition system using microsoft kinect for better human interaction,,,,./reports_doc/Hand Gesture Recognition System using Microsoft Kinect_for a better Human Computer Interaction_60.pdf
250,hate speech detection on twitter using sentiment analysis to the in the of the for the award of the of of,spyder,,mysql,./reports_doc/HATE SPEECH DETECTION ON TWITTER_USING SENTIMENT ANALYSIS.pdf
251,hiring decision support system hiring decision support system,,angular angularjs,postgresql,./reports_doc/HIRING DECISION SUPPORT SYSTEM_13.pdf
